지역,구역,2010,2011,2012,2013,2014,2015,2016,2017
강원,원주시,314678,320536,323885,324837,327292,332995,337979,341337
강원,강릉시,218503,217571,217741,216806,215807,214560,213846,213952
강원,동해시,95236,95804,93897,95143,94562,93895,93297,92851
강원,태백시,50864,50176,49493,48794,48258,47501,47070,45888
강원,속초시,84302,83745,83579,83109,82432,81992,81793,82273
강원,삼척시,72046,72312,72463,73023,72314,70839,69599,68514
충북,충주시,208481,208433,208447,208115,208527,207913,208350,208316
충북,제천시,137264,137689,137521,137204,136805,136138,136517,136432
충북,청주시,655971,661946,666852,672904,831521,831912,835197,835590
충남,천안시,557673,571377,581988,591089,598346,605776,617955,631531
충남,공주시,124930,124748,117298,116369,113621,111261,109931,108432
충남,보령시,107346,106421,105559,104938,104321,104754,103873,103198
충남,아산시,265191,274523,280490,287073,293954,297737,302929,311453
충남,서산시,160468,161489,163315,165837,167611,170099,170788,171678
충남,논산시,127507,127533,126653,125844,124784,124232,123213,122240
충남,계룡시,43088,42942,41550,40957,40552,41730,42634,43967
충남,당진시,144903,150219,155104,159615,162844,165122,166630,167439
전북,전주시,641525,645894,648863,650082,652877,652282,651744,648964
전북,군산시,272601,275659,278341,278319,278098,278398,277551,274997
전북,익산시,307289,309804,306469,306539,304117,302061,300479,300187
전북,정읍시,122000,120466,119392,118328,117183,115977,115173,113776
전북,남원시,87775,87455,87000,86460,85643,84856,84188,83281
전북,김제시,94346,93111,92317,91218,90108,88721,87782,86926
전남,목포시,245422,244871,245073,240936,239109,238382,237739,234379
전남,여수시,293488,292750,292217,291366,290900,290168,288988,286382
전남,순천시,272620,272201,273798,275668,277188,278765,278548,279331
전남,나주시,90118,88243,88067,87754,90669,98182,104376,110110
전남,광양시,145512,150725,150837,151621,152097,153587,155580,155857
경북,포항시,514755,517088,518913,519467,519368,519584,516775,513832
경북,경주시,267098,265488,264091,263283,261535,259773,259452,257903
경북,김천시,136136,136185,135504,135259,135456,140132,142256,142908
경북,안동시,167886,168157,168302,168461,168697,169221,168798,166272
경북,구미시,404920,413446,416949,419428,420320,419915,419891,421799
경북,영주시,113926,114148,113547,112625,110780,109735,109247,108371
경북,영천시,103190,104182,101798,100778,100689,100648,100521,100615
경북,상주시,105607,104685,104182,103346,102892,102374,101799,100947
경북,문경시,77391,76727,75899,75664,75911,75784,74702,73294
경북,경산시,240708,243684,246358,248805,253968,256888,258037,259485
경남,창원시,1090181,1091881,1091471,1083731,1075168,1070064,1063907,1057032
경남,진주시,335037,335502,337314,337071,340241,344426,346739,346681
경남,통영시,140297,140195,139347,139719,139439,139168,138160,135833
경남,사천시,114148,114133,115321,116851,116485,115452,114912,114252
경남,김해시,503348,507062,513260,522049,527240,528865,529422,532132
경남,밀양시,110479,109329,108755,108342,107765,107896,108354,107898
경남,거제시,228355,232787,236944,242077,248287,255828,257183,254073
경남,양산시,260239,266403,270460,279565,292376,301291,317037,338535
제주,제주시,417539,422790,429656,438165,448834,459876,470665,478700
제주,서귀포시,153716,153366,154057,155641,158512,164519,170932,178383
