충북,충주시,1120,1062,1055,1166,1008,1070,934,954
충북,제천시,691,712,740,701,659,634,619,569
충남,천안시,4180,4437,4473,4209,4084,4271,4262,3907
충남,공주시,610,650,559,562,538,484,403,383
충남,보령시,617,561,533,551,474,508,488,444
충남,아산시,2239,2261,2207,2190,2108,2176,1973,1921
충남,서산시,1038,1030,1044,1052,1036,1037,1007,977
충남,논산시,642,625,621,546,545,558,529,484
충남,계룡시,176,170,180,179,143,171,171,130
충남,당진시,890,899,1171,1255,1183,1228,1124,1047
전북,전주시,3622,3765,3574,3725,3457,3406,3084,2911
전북,군산시,1856,1834,1921,1705,1579,1606,1437,1322
전북,익산시,1726,1712,1627,1635,1484,1544,1344,1246
전북,정읍시,584,556,514,519,503,475,414,437
전북,남원시,402,422,367,357,334,309,328,324
전북,김제시,482,420,402,385,370,337,302,313
전남,목포시,1526,1480,1436,1405,1215,1285,1196,1050
전남,여수시,1820,1773,1684,1797,1755,1718,1453,1399
전남,순천시,1424,1476,1413,1444,1432,1396,1304,1227
전남,나주시,442,407,458,417,414,567,593,623
전남,광양시,966,1108,1057,1040,936,880,809,790
경북,포항시,3195,3241,3295,3342,3052,2986,2599,2430
경북,경주시,1399,1408,1360,1459,1297,1252,1130,1035
경북,김천시,650,691,680,648,569,660,688,641
경북,안동시,802,830,806,791,766,780,729,668
경북,구미시,3055,3276,3155,3236,2810,2792,2618,2470
경북,영주시,515,472,482,459,397,441,448,404
경북,영천시,497,496,510,510,479,477,446,400
경북,상주시,471,440,455,412,424,405,349,325
경북,문경시,358,350,356,312,353,295,285,245
경북,경산시,1554,1604,1561,1564,1479,1556,1541,1341
경남,진주시,1854,1825,1724,1787,1696,1706,1667,1571
경남,통영시,1099,1053,929,871,820,802,723,589
경남,사천시,738,710,669,710,676,607,553,552
경남,김해시,3238,3084,3061,3320,3123,2901,2750,2578
경남,밀양시,506,456,464,470,434,501,390,356
경남,거제시,2337,2302,2161,2186,2095,2281,2040,1577
경남,양산시,1677,1674,1665,1793,1798,1809,1828,1913
경남,창원시,7276,7320,7256,6897,6337,6094,5835,5265
제주,제주시,2544,2674,2573,2736,2719,2696,2734,2735
제주,서귀포시,971,908,909,902,874,980,971,919
