강원,동해시,1402,1286,1149,1393,2224,1324,1979,2649
강원,태백시,853,872,809,2249,1438,743,592,551
강원,속초시,1891,2072,1653,1430,1693,2599,5259,4845
강원,삼척시,1376,1665,546,576,1209,1296,760,954
충북,청주시,19706,21100,18496,20822,13009,19985,19633,21903
충북,충주시,4548,3076,3030,2931,4127,3302,6125,5718
충북,제천시,2668,2112,1616,1596,1959,2490,2774,3075
충남,천안시,18161,22181,16753,16691,21943,21812,20170,23165
충남,공주시,1768,2539,1671,1507,1081,1082,948,2056
충남,보령시,882,1132,741,1424,833,1445,762,2622
충남,아산시,7083,13517,11091,7886,13002,11249,9943,14843
충남,서산시,2822,3202,2638,3798,4304,5119,5293,4998
충남,논산시,1926,753,723,1961,1491,1726,1090,1425
충남,계룡시,1552,1351,1015,797,773,764,1270,911
충남,당진시,4371,3708,3751,3448,4067,4930,4267,2403
전북,전주시,15190,14257,11914,14091,17026,17275,18427,20118
전북,군산시,7137,9620,4335,3626,5726,7444,4732,4586
전북,익산시,6320,7608,5326,4992,6042,5960,5757,5943
전북,정읍시,1156,3069,927,906,2245,1259,1159,2451
전북,남원시,617,797,1129,968,981,607,928,563
전북,김제시,451,471,398,530,1690,1251,1656,928
전남,목포시,6034,5134,3810,4245,5062,6856,5494,5902
전남,여수시,6028,6863,4911,5081,4992,4460,5015,6306
전남,순천시,5803,6660,6068,5966,5545,9159,7462,6491
전남,나주시,593,699,747,595,2905,6895,5428,3513
전남,광양시,4781,6695,4417,3257,3864,2934,3357,6575
경북,포항시,9707,15228,12295,14612,14473,14650,9885,11147
경북,경주시,4096,4237,3588,3426,3562,6403,3790,4489
경북,김천시,1020,2166,1826,1997,2880,5064,4047,2221
경북,안동시,1962,2122,2015,2058,3529,3470,2295,2898
경북,구미시,10008,15194,8223,12142,12204,15941,10813,15104
경북,영주시,876,1167,861,921,847,909,1510,833
경북,영천시,1478,1019,916,1102,2054,2128,1341,2375
경북,상주시,679,848,706,1276,925,1456,1084,966
경북,문경시,479,466,367,357,1051,528,631,752
경북,경산시,5782,5830,5344,4581,9459,11471,8401,7941
경남,창원시,10787,22134,12479,17926,28029,31917,17073,23427
경남,진주시,7160,8968,5101,4827,11246,10376,9482,10230
경남,통영시,3555,2322,2095,2624,3143,3703,2709,2155
경남,사천시,2446,2478,1757,2280,1972,2238,1978,5596
경남,김해시,13124,9057,17052,23317,17299,14642,12782,13493
경남,밀양시,715,1335,803,778,1409,1427,1607,2678
경남,거제시,6786,7513,8235,7858,11025,8996,5785,6129
경남,양산시,12007,8567,6335,13392,17659,15938,22837,25944
제주,제주시,4799,5088,4871,4969,5508,4841,4393,4856
제주,서귀포시,588,1000,908,1555,1475,3804,3762,2234
