지역,구역,2010,2011,2012,2013,2014,2015,2016,2017
서울,종로구,23033,20982,24211,25400,32498,34217,39549,41197
서울,중구,37344,36509,34438,28584,29200,31631,31619,31998
서울,용산구,10339,11240,9631,13432,10866,10181,9963,9593
서울,성동구,34732,34535,33652,32462,32917,33466,32464,32785
서울,광진구,18515,17785,17276,17705,17246,18845,19741,19395
서울,동대문구,18204,17790,16630,15539,16068,17390,18120,18564
서울,중랑구,15091,16422,17901,16849,18372,17988,18805,20250
서울,성북구,11365,11990,10248,11209,11384,11753,11740,11535
서울,강북구,6634,6714,6718,6777,7512,6929,7234,7810
서울,도봉구,4670,4660,4164,4351,5194,6163,6230,7024
서울,노원구,5470,5649,5074,4796,4996,5824,5984,6045
서울,은평구,6797,7232,6302,6304,6642,7565,7444,6747
서울,서대문구,7183,7347,5568,5124,5079,5906,6996,6864
서울,마포구,20561,17987,17167,15932,16009,19549,19649,20828
서울,양천구,10867,11641,11873,12660,12023,14385,13708,14751
서울,강서구,15659,14320,15151,15646,17802,18626,19609,20444
서울,구로구,27355,25948,26581,25477,25735,27954,29968,29104
서울,금천구,51122,53042,51054,51654,52215,55005,55169,54507
서울,영등포구,36967,34226,31956,27270,29050,31483,32264,36269
서울,동작구,8060,7679,7266,6127,6977,6522,6547,6779
서울,관악구,13260,13794,12879,11917,12211,14265,13575,13017
서울,서초구,83862,84225,64789,55267,54500,75001,69853,73658
서울,강남구,98639,92242,74269,63791,56262,75433,73907,72542
서울,송파구,46462,42772,42223,34570,33647,47418,50975,53668
서울,강동구,13530,12572,19471,21774,22003,23382,21535,23002
부산,중구,3080,4511,5099,4571,2034,2032,2345,2542
부산,서구,3645,3706,3252,3419,4022,3913,3928,4424
부산,동구,5979,6078,5994,5739,5478,6779,7819,7359
부산,영도구,10256,9005,8879,8300,7895,8898,9201,11558
부산,부산진구,13857,13304,14070,13938,16559,19278,20446,21007
부산,동래구,11385,11854,11461,10211,10446,11767,13468,12824
부산,남구,8377,7829,9304,9200,8892,10272,10179,11010
부산,북구,4130,3645,3846,3528,4026,4411,4947,4848
부산,해운대구,9123,8836,9273,9669,10642,12940,13486,16005
부산,사하구,35850,35303,37713,37788,35208,37831,35787,36067
부산,금정구,18125,18063,18088,15867,18168,22290,21839,22010
부산,강서구,50623,54980,58763,64891,69919,73525,71056,70105
부산,연제구,10059,11579,12203,11511,11454,12243,13336,13377
부산,수영구,5690,6883,6572,7133,7709,8618,7996,9968
부산,사상구,43979,44682,44763,43936,43773,44449,44451,44015
부산,기장군,16025,18538,19323,19912,21714,22929,23443,23130
대구,중구,5181,5041,5803,4620,4951,6021,6420,8243
대구,동구,10322,10863,11212,11282,13121,15576,16495,16476
대구,서구,21366,21619,22420,23166,23259,22637,23245,23157
대구,남구,3545,2894,2546,2523,2978,3636,3822,4093
대구,북구,33882,34710,35505,35670,37013,38427,40862,42434
대구,수성구,14716,13240,13918,11516,13771,18265,17954,17361
대구,달서구,64271,66734,67364,69740,68252,66303,66590,64648
대구,달성군,31947,34907,37455,40228,42825,46478,47710,50641
인천,중구,5044,4853,4860,5516,5257,9864,10645,11256
인천,동구,12278,14062,12463,11627,11860,11209,11711,12441
인천,남구,18477,18827,19560,20003,20161,20867,20383,21057
인천,연수구,8156,8714,10379,13242,14432,19467,22147,22081
인천,남동구,87142,87216,88077,88893,92501,96311,95176,95696
인천,부평구,46104,42492,42523,41719,41320,42181,44688,46231
인천,계양구,14999,13590,13455,12568,13448,15391,15198,15350
인천,서구,64735,64500,66873,67350,66978,69691,72760,73084
인천,강화군,2896,2689,2800,2462,2756,3533,3362,3659
인천,옹진군,918,962,1069,1388,1379,2054,1706,1691
광주,동구,5426,5238,4707,4170,4145,4607,4659,4911
광주,서구,24338,23271,21968,23431,21233,23828,25857,26819
광주,남구,7988,7537,7126,7642,8399,8805,8331,8930
광주,북구,32219,29897,32511,32039,34335,35313,37819,40027
광주,광산구,49623,49521,51955,50541,52386,54228,56013,57234
대전,동구,7669,7376,7141,7019,7352,8436,9090,10083
대전,중구,6410,6592,6792,6590,8008,8414,8549,9226
대전,서구,15498,15691,12535,12665,12130,15250,15665,15019
대전,유성구,21911,23075,23228,22998,25377,28465,29723,30805
대전,대덕구,30834,30742,32651,32036,32289,33997,33605,33633
울산,중구,4958,4444,4286,4824,5098,6013,5896,6556
울산,남구,42662,42566,42634,44294,44531,46329,46616,47312
울산,동구,41136,48352,41783,59169,60719,51516,48804,47005
