지역,구역,2010,2011,2012,2013,2014,2015,2016,2017
서울,종로구,7,120,10,17,9,7,13,49
서울,중구,66,66,21,12,5,7,4,3
서울,용산구,7,9,6,7,0,0,0,0
서울,성동구,0,0,3,2,4,0,0,2
서울,광진구,3,0,0,0,0,0,0,3
서울,동대문구,0,3,8,2,6,3,3,1
서울,중랑구,0,0,5,4,9,8,3,3
서울,성북구,1,2,0,0,0,0,0,0
서울,강북구,0,0,0,0,0,0,0,0
서울,도봉구,16,16,0,0,2,7,9,2
서울,노원구,0,4,0,3,2,2,3,2
서울,은평구,0,0,0,0,0,0,0,0
서울,서대문구,1,1,13,11,0,0,0,1
서울,마포구,4,1,1,1,10,0,0,0
서울,양천구,7,9,0,0,2,0,0,0
서울,강서구,11,7,0,7,6,0,0,0
서울,구로구,4,21,8,0,0,1,1,1
서울,금천구,6,6,5,5,4,2,6,7
서울,영등포구,1,6,2,3,12,2,1,19
서울,동작구,377,375,79,527,564,0,0,2
서울,관악구,0,0,0,0,5,1,2,5
서울,서초구,61,29,16,9,9,4,20,34
서울,강남구,143,102,93,47,25,96,20,12
서울,송파구,227,210,207,205,163,335,291,320
서울,강동구,29,15,18,9,28,40,84,48
부산,중구,1434,1649,1493,1161,1176,1456,1407,1348
부산,서구,972,1263,1030,938,951,1099,934,1019
부산,동구,1,25,65,96,47,95,61,49
부산,영도구,138,126,204,155,159,202,184,172
부산,부산진구,0,3,0,2,15,4,9,4
부산,동래구,21,20,671,526,74,68,178,216
부산,남구,0,0,0,0,0,0,0,0
부산,북구,0,0,0,1,0,0,2,0
부산,해운대구,10,14,1,1,9,0,9,25
부산,사하구,368,229,244,202,216,314,321,441
부산,금정구,17,16,38,18,16,4,10,16
부산,강서구,38,35,46,38,51,64,52,75
부산,연제구,7,6,7,8,3,0,0,0
부산,수영구,0,0,0,0,1,1,10,5
부산,사상구,0,3,0,0,0,1,0,1
부산,기장군,105,135,85,56,31,62,32,47
대구,중구,0,0,3,0,1,1,0,0
대구,동구,56,66,46,49,60,50,12,17
대구,서구,7,4,3,8,8,0,4,1
대구,남구,37,30,25,32,27,25,22,19
대구,북구,162,150,150,148,115,125,131,160
대구,수성구,29,27,36,27,29,32,37,11
대구,달서구,8,8,0,0,2,11,5,6
대구,달성군,42,33,37,63,59,53,59,264
인천,중구,420,398,371,335,346,397,370,395
인천,동구,28,34,37,40,36,32,0,3
인천,남구,0,0,9,0,0,0,0,2
인천,연수구,0,0,28,0,14,6,0,0
인천,남동구,63,60,18,20,12,29,24,26
인천,부평구,0,0,0,0,0,0,0,0
인천,계양구,29,14,19,10,9,14,39,22
인천,서구,83,72,80,101,140,160,191,204
인천,강화군,131,108,110,109,135,106,119,127
인천,옹진군,9,23,25,25,28,27,92,104
광주,동구,1,5,10,1,4,3,2,10
광주,서구,127,119,102,148,101,140,115,148
광주,남구,11,18,15,16,20,26,18,15
광주,북구,1,71,105,96,78,37,41,100
광주,광산구,226,208,223,187,203,217,199,203
대전,동구,0,4,0,0,0,0,0,0
대전,중구,2,5,8,2,0,0,0,0
대전,서구,339,305,282,272,308,316,319,341
대전,유성구,20,13,13,22,13,12,23,18
대전,대덕구,23,19,31,29,24,28,24,13
울산,중구,42,38,43,37,19,24,25,29
울산,남구,88,73,55,67,48,54,74,44
울산,동구,0,0,0,20,13,0,0,0
울산,북구,6,10,10,6,4,18,16,16
울산,울주군,329,352,325,352,307,312,295,307
경기,수원시,233,224,215,204,204,191,196,205
경기,성남시,25,23,11,81,67,79,101,93
경기,의정부시,0,50,51,36,46,23,116,68
경기,안양시,13,34,32,34,39,75,85,58
경기,부천시,26,2,2,5,6,31,34,31
경기,광명시,0,3,2,2,2,1,2,2
경기,평택시,420,446,410,428,438,470,567,545
경기,동두천시,4,6,6,3,6,4,5,10
경기,안산시,93,72,77,77,94,91,97,129
경기,고양시,74,58,68,62,75,86,39,151
경기,과천시,9,11,9,10,29,37,34,26
경기,구리시,0,1,1,1,1,2,2,2
경기,남양주시,64,51,83,126,103,109,121,105
경기,오산시,45,32,44,35,39,18,38,48
경기,시흥시,4,4,21,34,17,14,21,25
경기,군포시,0,0,0,6,7,0,0,0
경기,의왕시,888,805,985,817,6,40,36,6
경기,하남시,34,32,13,7,7,2,3,8
경기,용인시,222,278,298,345,345,411,343,376
경기,파주시,221,250,173,260,197,259,266,254
경기,이천시,344,322,267,324,390,488,436,498
경기,안성시,499,421,444,690,838,707,648,748
경기,김포시,172,159,125,86,106,92,123,128
경기,화성시,277,254,203,216,274,357,405,364
경기,광주시,152,268,173,127,199,233,193,221
경기,양주시,78,92,93,103,81,92,106,97
경기,포천시,336,333,343,396,476,448,546,582
강원,춘천시,386,526,493,571,522,490,620,618
강원,원주시,278,275,276,332,400,1032,959,979
강원,강릉시,518,509,614,704,738,673,651,572
강원,동해시,128,120,90,109,103,119,127,121
강원,태백시,1262,1214,1115,1040,930,1030,980,923
강원,속초시,25,25,27,27,28,48,48,45
강원,삼척시,2210,2064,2153,2057,2029,1947,2013,1829
충북,청주시,214,188,229,184,549,566,748,817
충북,충주시,364,484,482,631,642,619,677,317
충북,제천시,238,373,278,287,297,301,333,649
충남,천안시,283,286,254,310,354,457,422,430
충남,공주시,228,178,102,108,138,196,178,223
충남,보령시,233,206,259,190,427,488,431,460
충남,아산시,255,207,254,340,310,329,470,492
충남,서산시,430,438,440,395,337,360,402,370
충남,논산시,324,367,351,395,483,430,424,444
충남,계룡시,0,0,0,0,0,4,4,5
충남,당진시,298,283,330,368,407,547,377,367
전북,전주시,299,265,291,254,274,338,377,370
전북,군산시,193,248,239,249,321,448,478,386
전북,익산시,664,765,655,829,823,805,735,719
전북,정읍시,238,226,304,392,448,428,475,505
전북,남원시,259,236,275,326,386,433,333,315
전북,김제시,383,514,525,408,429,471,492,523
전남,목포시,120,123,103,156,132,210,152,158
전남,여수시,131,149,149,108,156,156,120,98
전남,순천시,119,140,114,159,155,141,173,147
전남,나주시,344,426,320,436,1318,1251,1509,1433
전남,광양시,60,91,87,72,71,88,98,77
경북,포항시,222,172,150,244,233,143,192,208
경북,경주시,228,221,211,302,302,343,394,364
경북,김천시,212,188,219,208,228,288,295,344
경북,안동시,432,371,361,377,419,348,335,349
경북,구미시,255,341,300,295,281,253,264,312
경북,영주시,160,191,163,215,162,170,188,195
경북,영천시,109,162,155,198,229,278,251,310
경북,상주시,284,248,242,206,199,232,207,256
경북,문경시,202,184,215,145,179,149,170,185
경북,경산시,198,162,227,235,283,310,259,257
경남,창원시,251,244,228,261,373,373,382,326
경남,진주시,270,373,403,404,577,637,640,577
경남,통영시,29,50,56,67,37,49,49,16
경남,사천시,203,220,176,308,285,312,229,221
경남,김해시,259,150,128,190,239,226,286,292
경남,밀양시,261,202,227,177,271,213,231,198
경남,거제시,29,65,31,75,41,39,50,36
경남,양산시,158,180,143,155,175,153,169,176
제주,제주시,953,935,864,1063,1193,1266,3752,1246
제주,서귀포시,1158,1200,1154,1236,1175,1051,849,1125
