강원,강릉시,3861,5071,4041,4298,5498,5568,6821,7380
강원,동해시,1828,1756,1574,1824,2705,1915,2530,3237
강원,태백시,1551,1372,1170,2531,1890,1122,957,878
강원,속초시,2291,2564,2084,1828,2150,3272,5855,5583
강원,삼척시,1790,2083,938,942,1654,1760,1210,1398
충북,청주시,18046,18866,19254,21217,13723,25296,23805,25856
충북,충주시,6083,5001,4883,4816,5889,5196,8121,7418
충북,제천시,3504,3267,2625,2566,3004,3517,3851,4008
충남,천안시,19959,24517,19350,19515,24719,25044,23237,25889
충남,공주시,2404,3710,2452,2292,2007,1904,1783,2822
충남,보령시,1374,1758,1255,1956,1594,2183,1613,3465
충남,아산시,7915,14699,12273,9115,14465,12939,11494,16581
충남,서산시,3677,4205,3644,4662,5450,6390,6531,6206
충남,논산시,2660,1673,1516,2807,2386,2714,2116,2340
충남,계룡시,1597,1402,1065,857,831,843,1353,982
충남,당진시,5095,4494,4383,4265,5130,6146,5386,3374
전북,전주시,18229,17898,15231,17104,20319,21164,22274,23754
전북,군산시,8318,10984,5606,4977,7134,8811,5860,5997
전북,익산시,7773,9429,7398,7113,7632,7832,7702,7756
전북,정읍시,1640,3648,1468,1470,2821,1868,1801,3097
전북,남원시,1071,1304,1691,1555,1618,1181,1501,1148
전북,김제시,915,1047,911,1030,2318,1889,2323,1608
전남,목포시,7021,6537,5040,5386,6127,8118,6816,7290
전남,여수시,7274,8136,6012,6451,6527,5927,6685,8046
전남,순천시,6744,7742,7050,7075,6673,10322,8687,7838
전남,나주시,1116,1296,1405,1320,3711,7661,6240,4325
전남,광양시,5228,7575,5123,3902,4525,3611,3980,7254
경북,포항시,12500,18251,15720,18147,18030,18940,13083,13912
경북,경주시,5848,6270,5737,5589,6052,8936,5923,6337
경북,김천시,1527,2789,2477,2878,3871,6052,4924,2959
경북,안동시,3119,3621,3386,3376,4851,4776,3536,4066
경북,구미시,11731,17757,10931,15494,15439,19067,12688,16879
경북,영주시,1567,1879,1825,1891,1818,1881,2355,1565
경북,영천시,2265,1996,1865,2113,3214,3442,2301,3246
경북,상주시,1445,1539,1478,2083,1762,2348,1941,1795
경북,문경시,1116,1252,1123,1120,1822,1319,1372,1537
경북,경산시,6657,7078,6657,6097,11657,13725,9978,9474
경남,창원시,13403,29611,16968,22755,34174,38093,21850,28333
경남,진주시,8758,10827,6558,6432,13068,12384,11798,12504
경남,통영시,4478,3181,2944,3479,4329,4855,3585,3092
경남,사천시,3082,3126,2348,2893,2703,3132,2949,6548
경남,김해시,16062,12407,19374,25908,20217,18328,15928,15957
경남,밀양시,1395,2404,1795,1740,2588,2793,2977,3909
경남,거제시,7805,9088,9458,9605,13096,10370,6854,7085
경남,양산시,12773,9676,7275,14484,18763,17460,24214,27129
제주,제주시,8638,10068,9608,10582,11857,12359,13437,13317
제주,서귀포시,1882,2469,2477,3277,4117,7551,7371,6092
