지역,구역,2010,2011,2012,2013,2014,2015,2016,2017
경북,문경시,17,17,17,17,17,17,17,17
경북,경산시,29,30,30,30,30,31,31,31
경남,진주시,41,42,42,42,44,44,45,45
경남,통영시,20,19,19,19,19,20,20,20
경남,사천시,19,20,18,18,18,18,18,18
경남,김해시,57,57,57,58,57,58,58,58
경남,밀양시,23,23,22,22,21,21,21,21
경남,거제시,35,35,35,35,35,37,37,37
경남,양산시,33,32,32,33,33,35,35,36
경남,창원시,46,105,105,105,105,106,108,110
제주,제주시,66,68,69,69,70,70,70,70
제주,서귀포시,40,40,41,41,41,42,42,42
